1,大空翼,98.5,13016880001,AID1903
2,松人,98,13016880002,AID1903
3,水冰月,98,13016880003,AID1903
4,星矢,97.5,13016880004,AID1903
5,紫龙,96.5,13016880005,AID1903
6,张飞,96,13016880006,AID1903
7,关羽,94.5,13016880007,AID1903
8,刘备,94.5,13016880008,AID1903
9,金花婆婆,94,13016880009,AID1903
10,紫衫龙王,93,13016880010,AID1903
11,青翼蝠王,92.5,13016880011,AID1903
12,白眉鹰王,92.5,13016880012,AID1903
13,金毛狮王,92.5,13016880013,AID1903
14,张三丰,92,13016880014,AID1903
15,张无忌,92,13016880015,AID1903
16,赵敏,91.5,13016880016,AID1903
17,小昭,91.5,13016880017,AID1903
18,周芷若,91.5,13016880018,AID1903
19,足球小将,91,13016880019,AID1903
20,圣斗士,90.5,13016880020,AID1903
21,黄金圣衣,90,13016880021,AID1903
22,胡亥,90,13016880022,AID1903
23,杨贵妃,89,13016880023,AID1903
24,叮当猫,88.5,13016880024,AID1903
25,吻别,88.5,13016880025,AID1903
26,抖音,87.5,13016880026,AID1903
27,火山,87.5,13016880027,AID1903
28,火箭,87,13016880028,AID1903
29,骑士,86,13016880029,AID1903
30,小可乐,85,13016880030,AID1903
31,小雪碧,83.5,13016880031,AID1903
32,美年达,82.5,13016880032,AID1903
33,小甜甜,81,13016880033,AID1903
34,欢欢,81,13016880034,AID1903
35,乐乐,81,13016880035,AID1903
36,秋秋,80,13016880036,AID1903
37,辉辉,79.5,13016880037,AID1903
38,军军,77,13016880038,AID1903
39,阳阳,74.5,13016880039,AID1903
40,白眉大侠,73,13016880040,AID1903
41,杨过,68,13016880041,AID1903
42,小龙女,66,13016880042,AID1903
43,郭襄,64.5,13016880043,AID1903
44,周芷若,60,13016880044,AID1903
45,神雕,60,13016880045,AID1903
46,战神,60,13016880046,AID1903
47,只手遮天,60,13016880047,AID1903
48,王者荣耀,60,13016880048,AID1903
